Artist,Auction_opening_bid,auction_protected,Bloomies cost,Bloomies-sold,Category,circa,Country Of Origin,Featured Poster,Height,JPG,JPG_180_DPI,JPG_300_DPI,Manufaturer Date,Product ID,Product Name,Web Date Added,Web Keywords,Web Main Category,Web price,Web Relevance,Web Sub Category,Width
ANONYMOUS,175,,400,,"FRENCH
ENTERTAIN
MAGIC
MULTIPLE
CATALOG ITEM
RFA 2
GIFT
RFA 4-03
THUMBNAILS
GO-Ant
GIFT-SHOW
GING",C,French/France,,23,291.jpg,291-180DPI.jpg,291-300DPI.jpg,1920,291,LA BOUILLIE SOLEIL,8/10/18,"FRENCH
CARDS
gambling
gamble
GOANT
ART DECO
POKER",Entertainment,700,2,"Circus/Magic
OtherProducts",31.5
LEONETTO CAPPIELLO,1200,1900,1400,,"TO
ACCO
FRENCH
HORIZONTIAL
UNIQUE
HORIZONTAL
APPLEJACK
GO-Ant
GIFT-SHOW",C,French/France,,63,324.jpg,324-180DPI.jpg,324-300DPI.jpg,1915,324,LE NIL ELEPHANT,8/10/18,"FRENCH
HORIZONTIAL
ANIMALS
ELEPHANT
SMOKING
POPULAR POSTER
ART DECO
September Additions
FATHER'S DAY",Products,2400,2,Tobacco,47
DOLA,150,,,,"FRENCH
ENTERTAIN
MULTIPLE
CATALOG ITEM
RFA 2
GIFT
ART.COM
RFA 4-03
GO-Ant
GIFT-SHOW
SELECT. JODI",,French/France,,23.5,343.jpg,343-180DPI.jpg,343-300DPI.jpg,1926,343,LA DANSE DES LIBELLULES,7/2/18,"BUTTERFLY
FAIRY
CHILDREN
ART NOUVEAU
flash
$500 & Under
GIFTS FOR HER
opera
operetta
",Entertainment,400,3,Dance/Ballet,31.5
SOUBIE,,,,,"CINEMA
AMERICAN
UNIQUE",,American/America,,48,350.jpg,350-180DPI.jpg,350-300DPI.jpg,1963,350,LOLITA,5/31/18,"KUBRICK
NABOKOV
NYMPH
VALENTINE
For Your Better Half
MOVIE
SUMMER
",Entertainment,1100,5,Movie,63
BOUISSET,300,800,600,,"FR
NCH
FOOD
OVERSIZE
CHILDREN
MULTIPLE
COFFEE/TEA
CATALOG ITEM
CELINE
DAVID",C,French/France,Featured Poster,49,358.jpg,358-180DPI.jpg,358-300DPI.jpg,1938,358,LULU BISCUIT,5/31/18,"FRENCH
OVERSIZE
CHILDREN
COOKIE
BOYflash
vive la france
$5,000 & Under
Winter 2017 Walls
OVERSIZE
For the Holiday Host
",Food,1600,3,Cookies/Biscuits,70.5
RAVERTA,,,950,,"FRENCH
LIQUOR
UNIQUE",,Italian/Italy,,39,361.jpg,361-180DPI.jpg,361-300DPI.jpg,1939,361,LUXARDO - PEDESTAL,8/13/18,"liqueur
pedestal
water
sunset
CHERRY
YUGOSLAVIA
CROATIA
DALMATIAN COAST
MARASCHINO
MANHATTAN
SUMMER
ZARA
CORDIAL
DRINK
COCKTAIL
MIXER
APERITIF
DIGESTIF
","Liquor
Food",1300,3,"OtherFoods
Spirits",55
VIANO,150,350,350,,"FRENCH
FOOD
MULTIPLE
CATALOG ITEM
RFA 2
GIFT
RFA 4-03
GIFT-SHOW
ART.COM
GO-Ant
THUMBNAILS
GING
CELINE
BLOOM
SELECT. JODI",C,French/France,,31.25,369.jpg,369-180DPI.jpg,369-300DPI.jpg,1925,369,MANON,8/10/18,"FRENCH
WOMEN
FARM
VEGETABLE
KITCHEN
harvest
$1,000 & Under
",Food,900,3,Fruit/Vegetables,47
GAMBIER,75,,,,"SPORTS
FRENCH
MULTIPLE
RFA 2
GIFT
GO-Ant
SELECT. JODI",C,French/France,,14.5,1074.jpg,1074-180DPI.jpg,1074-300DPI.jpg,1955,1074,DIEPPE MINI GOLF,6/12/18,"golf
beach
For-him
FLASH
FATHER'S DAY
summer
SUMMER FUN
For the Stocking
SPRING SPORTS
summer kickoff
Father's Day
MID CENTURY
$500 & UNDER
GIFTS FOR HIM
TOP PICKS
april in paris
Sun Lovers",Sports,300,4,"Other-Travel
Golf",21.5
MCINDOE,250,650,800,select bloomies,"AM
RICAN
LIQUOR
FRENCH
MULTIPLE
GO-Ant
GIFT-SHOW
GING
BLOOM
DAVID
CATALOG ITEM",,French/France,Featured Poster,38,383.jpg,383-180DPI.jpg,383-300DPI.jpg,1996,383,MOET - COUPLE ,8/10/18,"DANCE
CHAMPAGNE
COUPLE
ART NOUVEAU
Home
valentine
For the Holiday Host
$5,000 & Under
top picks
GIFTS FOR THE HOME
GIFTS FOR HER
Valentines Day 2017
GIFTS FOR HIM
For Your Better Half","Liquor
Featured Posters",1600,5,"POPULAR POSTERS
Champagne",53
LEONETTO CAPPIELLO,1000,2900,2300,select bloomies,"GIFT-SHOW
SELECT. MICK",,French/France,Featured Poster,47,396.jpg,396-180DPI.jpg,396-300DPI.jpg,1938,396,MOSSANT,8/10/18,"FRENCH
PRODUCTS
FATHER'S DAY
HAT
POPULAR POSTER
GIFTS FOR THE HOME
SPRING 2017 WALLS
ART DECO
Office
FOR him
Father's Day
$5,000 & Under 
Fall Walls
GIFTS FOR HIM
Top Picks
Winter 2017 Walls","Products
Featured Posters",3800,3,"
Fashion
POPULAR POSTERS",63
BOB LEE HICKSON,150,,,,"AMERICAN
ENTERTAIN
MULTIPLE
CATALOG ITEM
RFA 4-03
ART.COM
GO-Ant
GIFT-SHOW",,American/America,,29.5,786.jpg,786-180DPI.jpg,786-300DPI.jpg,1973,786,WNEW PEGGY LEE,5/11/18,"AMERICAN
JAZZ
BLONDE
RADIO
FLASH
new york
$250 & UNDER",Entertainment,250,5,"entertainer
Entertainers
Radio/TV
Music",45.5
FIX MASSEAU,,,,,"FRENCH
HORIZONTIAL
PRODUCTS
HORIZONTAL
UNIQUE",C,French/France,,62,453.jpg,453-180DPI.jpg,453-300DPI.jpg,1955,453,PHILIPS - QUEL CHOIX ,8/11/17,"HORIZONTAL
FRIDGE
REFRIGERATOR
FREEZER
APPLIANCE
",Products,850,4,,46
DAUDE,200,300,350,,"FRENCH
ENTERTAIN
PRODUCTS
MULTIPLE
CATALOG ITEM
RFA 2
RFA 4-03
TOBACCO
GIFT-SHOW
GING
SELECT. JODI
DAVID",C,French/France,Featured Poster,46.25,4199.jpg,4199-180DPI.jpg,4199-300DPI.jpg,1975,4199,PIANOS DAUDE - REISSUE,8/10/18,"FRENCH
PRODUCTS
MUSIC
RED
KEYBOARD
graduate
PIANO
top picks
$1,000 & Under
FATHER'S DAY
GIFTS FOR THE HOME
 ","Entertainment
Featured Posters",600,4,"music
POPULAR POSTERS
Theater/Opera",61.75
JEAN DYLEN,500,790,,,"FR
NCH
TRAVEL
TRANSPORT
UNIQUE
RFA 2
GIFT
RFA 4-03",,French/France,,30,841.jpg,841-180DPI.jpg,841-300DPI.jpg,1931,841,PLOMBIERES DYLEN,5/31/18,"FRENCH
TRANSPORT
SPA 
 ART DECO

$5,000 & Under",Travel,1400,3,French-Travel,42
BONAPARTE,,,800,,"LIQUOR
UNIQUE
SPANISH
BARCODE",C,Spanish/Spain,,31,518.jpg,518-180DPI.jpg,518-300DPI.jpg,1925,518,RHUMPRAT - THE OLD JACK,8/10/18,"AFRO
AFRICAN
BLACK
TF1
jamaica
rum
rhum
jamaican
liquor
bar",Liquor,1400,4,Spirits,46.75
ANONYMOUS,,,125,,"AMERICAN
CIRCUS
MULTIPLE
RFA 2
RFA 4-03
ENTERTAIN",C,American/America,,28,524.jpg,524-180DPI.jpg,524-300DPI.jpg,1975,524,RINGLING 200 YEARS,8/13/18,"AMERICAN
CIRCUS
ELEPHANT
RED
OCT 08
JUNE 09
mckenna
$250 & Under
For the Stocking",Entertainment,250,5,Circus/Magic,40
